Model,Params (M),Accuracy (%),Precision (%),Recall (%),F1 (%)
MobileNetV1 [paper],3.22,59.11,59.74,57.98,58.85
MobileNetV2 [paper],2.25,53.87,52.10,50.95,51.53
ResNet50 [paper],23.59,78.82,79.14,77.70,78.41
DenseNet121 [paper],7.04,42.37,42.50,38.41,40.35
VGG16 [paper],14.71,43.85,45.81,41.38,43.48
NASNet Mobile [paper],4.27,37.24,33.66,30.61,33.37
MB-BE [paper],3.16,60.02,58.41,58.06,58.24
ResNet50 [ours],23.77,80.60 ± 1.17,78.40 ± 0.47,77.96 ± 0.72,77.75 ± 0.53
ResNet50 + CLAHE [ours],23.77,77.26 ± 2.39,75.69 ± 2.39,74.55 ± 2.54,74.52 ± 2.50
EfficientNetV2-S [ours],20.34,78.74 ± 1.15,76.93 ± 1.43,76.22 ± 1.28,75.90 ± 1.33
EfficientNetV2-S + CLAHE [ours],20.34,78.70 ± 1.08,76.47 ± 0.99,76.13 ± 1.39,75.62 ± 1.53
ConvNeXt-S [ours],49.56,80.71 ± 2.57,77.76 ± 3.07,77.35 ± 2.92,77.23 ± 2.95
ConvNeXt-S + CLAHE [ours],49.56,79.73 ± 1.02,77.22 ± 0.74,76.66 ± 0.72,76.54 ± 0.66
