seed,accuracy,qwk,mae,severe,feature_set
42,0.3701594533029613,0.06536693720632214,0.8929384965831435,231,species_only
123,0.3712984054669704,0.06526576104337667,0.8917995444191344,231,species_only
2024,0.3701594533029613,0.06536693720632214,0.8929384965831435,231,species_only
7,0.3701594533029613,0.06352784851419369,0.8940774487471527,232,species_only
2025,0.3712984054669704,0.06526576104337667,0.8917995444191344,231,species_only
42,0.5865603644646925,0.3885324656388375,0.55125284738041,121,raw_full_global
123,0.5637813211845103,0.39650058494274654,0.5558086560364465,105,raw_full_global
2024,0.5649202733485194,0.38475562148657094,0.5626423690205011,112,raw_full_global
7,0.5751708428246014,0.39486843913894476,0.5535307517084282,113,raw_full_global
2025,0.5785876993166287,0.3800898325215394,0.5580865603644647,120,raw_full_global
42,0.5933940774487472,0.43038896227799794,0.5227790432801822,102,raw_center_global
123,0.5797266514806378,0.42880675884093034,0.5341685649202733,100,raw_center_global
2024,0.5694760820045558,0.40722577514070346,0.5489749430523918,104,raw_center_global
7,0.5842824601366743,0.4388034625077615,0.5296127562642369,100,raw_center_global
2025,0.5797266514806378,0.38497746150284007,0.5523917995444191,116,raw_center_global
42,0.5740318906605922,0.3637285606596362,0.5671981776765376,124,clahe_center_global
123,0.5580865603644647,0.3739338017307192,0.5740318906605922,116,clahe_center_global
2024,0.5387243735763098,0.3126821148850871,0.6082004555808656,129,clahe_center_global
7,0.5728929384965832,0.36768476276928874,0.5660592255125285,122,clahe_center_global
2025,0.5455580865603644,0.30699574993012924,0.6138952164009112,140,clahe_center_global
42,0.6059225512528473,0.46236794963114214,0.5022779043280182,95,species_plus_raw_center
123,0.5990888382687927,0.4425418539610323,0.5148063781321185,100,species_plus_raw_center
2024,0.570615034168565,0.393318306920325,0.5558086560364465,111,species_plus_raw_center
7,0.5956719817767654,0.446890658545399,0.5170842824601367,99,species_plus_raw_center
2025,0.5865603644646925,0.419814741175645,0.5330296127562643,105,species_plus_raw_center
42,0.5854214123006833,0.412982974422763,0.5375854214123007,108,species_plus_clahe_center
123,0.570615034168565,0.39688082829972904,0.5580865603644647,113,species_plus_clahe_center
2024,0.5501138952164009,0.33193323161597654,0.591116173120729,124,species_plus_clahe_center
7,0.5831435079726651,0.3927491747710483,0.5501138952164009,117,species_plus_clahe_center
2025,0.5592255125284739,0.33062901253439314,0.5968109339407744,137,species_plus_clahe_center
