feature,global_rho,global_p,species_n,mean_rho,median_rho,mean_abs_rho,consistent_species,feature_family
raw_center_lab_l_std,0.2453871146365101,3.266740041039871e-61,8,0.2651979621051577,0.24675336147034138,0.2651979621051577,8,raw_center
raw_center_lab_l_p90_p10,0.23800819482373978,1.3706277093569627e-57,8,0.2559127306705994,0.24219562364556851,0.2559127306705994,8,raw_center
raw_center_gray_std,0.2262964838585962,4.3190453563012065e-52,8,0.2489348580813117,0.2450565585880905,0.2489348580813117,8,raw_center
raw_center_gray_p90_p10,0.219303553339549,5.9310049475209705e-49,8,0.2413125889683837,0.22472908376603667,0.2413125889683837,8,raw_center
raw_center_lab_b_skew,-0.14216800976130867,2.9337478080795457e-21,8,-0.1666828516667741,-0.2162407213806588,0.24117035329317882,6,raw_center
raw_center_hsv_s_skew,-0.06389717656174614,2.2676410985345824e-05,8,-0.048834604938242904,-0.08358152036464253,0.22341800010712454,4,raw_center
raw_center_hsv_v_std,0.20447099418242243,1.186863008013535e-42,8,0.21651373532835405,0.20264971714059316,0.21651373532835405,8,raw_center
raw_center_hsv_v_p90_p10,0.20218021731191924,1.011899805238805e-41,8,0.21386202275660193,0.21277520636932123,0.21386202275660193,8,raw_center
raw_center_lab_l_skew,-0.016451246018074264,0.27581236742495213,8,-0.012283035223207768,0.0386658024190941,0.20165622875110606,4,raw_center
raw_center_lab_b_p50,-0.05380110765652379,0.00036209580421896914,8,-0.07508293550643326,-0.00452043951990555,0.1953838525489611,4,raw_center
raw_center_hsv_s_gloss_p99_p90,0.0023861266816838107,0.8744150534045873,8,0.03794600003239066,0.007015282279946626,0.19193936899977132,4,raw_center
raw_center_gray_skew,-0.010476175436200134,0.4877185106869599,8,-0.0074601625473758384,0.04516751613761009,0.19151878001596115,4,raw_center
raw_center_hsv_s_p50,0.006360410607451513,0.6735313182284528,8,-0.014548313574104924,0.0743913020708277,0.18884980659871994,5,raw_center
raw_center_lab_a_skew,-0.14345421866130956,1.277205720909507e-21,8,-0.11098744572123889,-0.1669733226343751,0.1808935639873701,5,raw_center
raw_center_hsv_s_p90,-0.010458572653021516,0.488450109178336,8,-0.029846614492393085,-0.013113156057874754,0.1781480206200443,4,raw_center
raw_center_hsv_s_mean,-0.018525709358114782,0.2197417652173543,8,-0.037563665000829784,-0.007510831886745513,0.17773326077040086,4,raw_center
raw_center_lab_b_p10,-0.14692411235296957,1.3042203572070554e-22,8,-0.15936021578847243,-0.1398087671685418,0.1760044319468529,7,raw_center
raw_center_lab_a_mean,-0.011865674028345315,0.4318741445477019,8,-0.035152298247563364,-0.034563620395160456,0.1715792046241002,4,raw_center
raw_center_lab_a_p90,0.003936132760642958,0.794305830735372,8,-0.005159213951944179,0.03274118515965181,0.1714611260520975,4,raw_center
raw_center_lab_a_p50,0.0319551576466703,0.034243471886683814,8,0.007072538394362133,0.060325710810007274,0.17023700679898474,5,raw_center
raw_center_lab_b_mean,-0.08823622040152926,4.7405279742388124e-09,8,-0.10643852383058924,-0.06065607482936036,0.16411201504316353,5,raw_center
raw_center_gray_p10,-0.14657962281572517,1.639877012798054e-22,8,-0.1258085727571409,-0.1644326823083132,0.15977478455740746,6,raw_center
raw_center_hsv_v_skew,-0.06655608857425904,1.017362438427234e-05,8,-0.048383545729576365,-0.0003778188441759499,0.15705471460896744,4,raw_center
raw_center_lab_l_p10,-0.14420041420118093,7.856158629963665e-22,8,-0.12289865566320018,-0.16424299614128302,0.15703580808308154,6,raw_center
raw_center_hsv_s_p10,-0.024122636505454376,0.11002679682608542,8,-0.03719084545388024,0.014163724806732962,0.15459056310068992,4,raw_center
raw_center_lab_a_p10,-0.036144432097566195,0.016623771057194158,8,-0.04171425786178869,-0.04429296526877511,0.14869953228566696,5,raw_center
raw_center_gray_p99,0.11641216997208663,1.015888539726987e-14,8,0.1451211178701281,0.12352378256995628,0.1451211178701281,8,raw_center
raw_center_lab_l_p99,0.1144598621935638,2.8134377090244454e-14,8,0.14388770001460055,0.12481025428897105,0.14388770001460055,8,raw_center
raw_center_hsv_s_p99,-0.08139424276710895,6.65033717441738e-08,8,-0.08237435690459904,-0.0538288415199671,0.14354386035771127,6,raw_center
raw_center_hsv_s_p90_p10,0.00843589615572435,0.5763060204798458,8,0.0002809153210309584,0.011188218924201705,0.1431350959682422,4,raw_center
raw_center_hsv_v_p10,-0.13337097725277197,7.061291296106022e-19,8,-0.11366998642973196,-0.1489628597332588,0.1411046073360307,6,raw_center
raw_center_lab_a_p90_p10,0.031307752093996964,0.038053518452056206,8,0.036406054181684765,0.0758794379534388,0.1403843277869607,6,raw_center
raw_center_lab_b_p90,-0.06193667074219174,4.016702691562912e-05,8,-0.06624881776578485,-0.08850925986377353,0.1343495045982422,5,raw_center
raw_center_lab_a_p99,-0.04662001610776892,0.0020035459564648433,8,-0.0492716408161315,-0.048972292596837316,0.1301456265319494,5,raw_center
raw_center_hsv_v_p50,0.014047409379552058,0.352101336988057,8,0.013493552411953522,0.030820721900344877,0.12695321374956736,5,raw_center
raw_center_hsv_s_std,-0.051574594458862706,0.0006297108998563941,8,-0.05235767587647242,-0.04740421135109114,0.1267651349905512,5,raw_center
raw_center_lab_b_p99,-0.12718731695469487,2.6960399773289647e-17,8,-0.10480052353661258,-0.1443976338607953,0.12675012499009672,6,raw_center
raw_center_lab_l_gloss_p99_p90,0.05099363079539531,0.0007250544974836666,8,0.050808602073572524,0.050921414872410434,0.12535354957743444,5,raw_center
raw_center_lab_b_p90_p10,0.05947642864657736,8.04341653831886e-05,8,0.07651088448540169,0.08316837609743816,0.12430155271159665,5,raw_center
raw_center_gray_gloss_p99_p90,0.05846306059951648,0.00010627343694769465,8,0.05979564437930564,0.05930353653279032,0.12309003530800225,5,raw_center
raw_center_gray_p50,-0.0002570067377579377,0.9864177360053936,8,0.013866773809717837,0.03344341221443305,0.121390278627195,3,raw_center
raw_center_gray_p90,0.09381481305461792,4.72837890399279e-10,8,0.12131027452135548,0.07580009811669669,0.12131027452135548,8,raw_center
raw_center_lab_l_p50,-0.002044555037562497,0.892273644790816,8,0.012524039096318617,0.02993600932511287,0.12055618574190405,3,raw_center
raw_center_lab_l_p90,0.09228524937121357,9.018087032505119e-10,8,0.11992812450405499,0.07440947820160089,0.11992812450405499,8,raw_center
raw_center_lab_b_gloss_p99_p90,-0.03982847573087959,0.00830985151845578,8,0.0006739604845701422,-0.001996714052037385,0.1169198304558351,4,raw_center
raw_center_hsv_v_gloss_p99_p90,0.018046221685210424,0.23191254800358535,8,0.026057306217205936,-0.009909801803680264,0.11639485320334178,4,raw_center
raw_center_hsv_v_p90,0.08090452945861906,7.971537392603873e-08,8,0.09669176093450968,0.08117243588962941,0.1119046562384208,7,raw_center
raw_center_hsv_v_p99,0.08840963459955738,4.421809437210094e-09,8,0.11010737032362712,0.06675038888959171,0.11010737032362712,8,raw_center
raw_center_lab_a_gloss_p99_p90,-0.02444043906413145,0.10541871595843812,8,-0.03110836644121073,-0.055279859904961426,0.0964242723465787,5,raw_center
raw_center_hsv_v_mean,0.011878825633322852,0.43136390309731265,8,0.021701359157781354,0.015707089966521426,0.096316020127312,5,raw_center
raw_center_lab_a_std,-0.001099557229031889,0.9419392324655216,8,0.0067364575750122405,0.02785537337269279,0.09582701214271455,2,raw_center
raw_center_gray_mean,0.009832031993998326,0.5148709792349948,8,0.03093362553556599,0.01259269738353377,0.09476664406553986,4,raw_center
raw_center_lab_l_mean,0.003735708998017572,0.8045618953769169,8,0.025317441598838752,0.0061070440868846755,0.09381018852917195,4,raw_center
raw_center_lab_b_std,0.011690292960479564,0.4387117235001199,8,0.033322550956070555,0.014604157273398914,0.08878096610091649,5,raw_center
clahe_center_lab_l_std,0.2245027224342999,2.82193845478944e-51,8,0.2583290079326263,0.23927997728478545,0.2583290079326263,8,clahe_center
clahe_center_lab_l_p90_p10,0.22671984318973973,2.7666602406908664e-52,8,0.2578398360427107,0.2372870437343215,0.2578398360427107,8,clahe_center
clahe_center_gray_std,0.2126510828068648,4.554463423710793e-46,8,0.24551626850252709,0.25121133994702244,0.24551626850252709,8,clahe_center
clahe_center_gray_p90_p10,0.2129169283936451,3.5074174869821524e-46,8,0.24326390024550712,0.24819239716548847,0.24326390024550712,8,clahe_center
clahe_center_lab_b_skew,-0.14101914375699526,6.126530333034356e-21,8,-0.16532238860252574,-0.2156443988295454,0.24039127771221938,6,clahe_center
clahe_center_hsv_s_skew,0.031105421939827422,0.039315824348129434,8,0.06364339286512419,0.07912396558689114,0.22392886306775892,5,clahe_center
clahe_center_hsv_v_p90_p10,0.19254605555716495,6.260122834742441e-38,8,0.20906817758427224,0.21439227396565486,0.20906817758427224,8,clahe_center
clahe_center_hsv_v_std,0.18681274451906538,9.106003127839426e-36,8,0.2088703381795452,0.21243337124645062,0.2088703381795452,8,clahe_center
clahe_center_lab_l_skew,-0.0013909037543227204,0.9265939468661393,8,0.003536509573844701,0.010650991422830602,0.20164878542487183,4,clahe_center
clahe_center_lab_b_p50,-0.05324934761693397,0.00041611684648937264,8,-0.07441716640324143,-0.004419882816240284,0.1956450103141144,4,clahe_center
clahe_center_hsv_s_p50,-0.004755038508631262,0.7527867066505654,8,-0.017293675790499854,0.09251538186067844,0.1922876348305587,3,clahe_center
clahe_center_gray_skew,-0.0016341850320729103,0.9138009069952401,8,0.003778883240343655,0.011908852557582408,0.18852253457251664,4,clahe_center
