epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1231,0.0835,2.9406,0.1583,0.000100
2,2.9008,0.1640,2.7082,0.2620,0.000100
3,2.6790,0.2236,2.4533,0.3178,0.000100
4,2.4461,0.3079,2.2145,0.3713,0.000100
5,2.2402,0.3546,2.0200,0.4180,0.000100
6,1.8811,0.4465,1.5925,0.5205,0.000030
7,1.5286,0.5425,1.3716,0.5957,0.000030
8,1.3137,0.6241,1.2351,0.6401,0.000030
9,1.1767,0.6803,1.1434,0.6560,0.000030
10,1.0452,0.7403,1.1169,0.6686,0.000030
11,0.9673,0.7775,1.0157,0.7210,0.000030
12,0.8649,0.8288,0.9841,0.7244,0.000030
13,0.7865,0.8595,0.9368,0.7494,0.000030
14,0.7098,0.8956,0.9303,0.7437,0.000029
15,0.6670,0.9081,0.9404,0.7631,0.000029
16,0.6004,0.9381,0.9347,0.7563,0.000029
17,0.5678,0.9450,0.9279,0.7494,0.000029
18,0.5127,0.9715,0.8940,0.7688,0.000029
19,0.4784,0.9799,0.9320,0.7688,0.000029
20,0.4682,0.9799,0.9225,0.7654,0.000029
21,0.4421,0.9901,0.9183,0.7642,0.000029
22,0.4273,0.9909,0.9727,0.7654,0.000029
23,0.4089,0.9958,0.9459,0.7836,0.000028
24,0.4019,0.9977,0.9732,0.7722,0.000028
25,0.3960,0.9981,0.9721,0.7836,0.000028
26,0.4025,0.9939,0.9886,0.7813,0.000028
27,0.4011,0.9947,0.9716,0.7790,0.000028
28,0.3930,0.9962,1.0281,0.7699,0.000028
29,0.3879,0.9966,0.9942,0.7699,0.000027
30,0.3869,0.9951,1.0286,0.7665,0.000027
31,0.3900,0.9954,1.0439,0.7711,0.000027
32,0.3764,0.9992,0.9951,0.7847,0.000027
33,0.3718,0.9996,0.9851,0.7790,0.000027
34,0.3694,1.0000,0.9917,0.7961,0.000026
35,0.3683,1.0000,1.0289,0.7836,0.000026
36,0.3659,1.0000,1.0031,0.7847,0.000026
37,0.3653,1.0000,1.0035,0.7802,0.000026
38,0.3642,1.0000,1.0088,0.7813,0.000026
39,0.3637,1.0000,1.0049,0.7813,0.000025
40,0.3627,1.0000,1.0068,0.7825,0.000025
41,0.3618,1.0000,1.0152,0.7859,0.000025
42,0.3620,1.0000,1.0140,0.7790,0.000025
43,0.3607,1.0000,1.0035,0.7847,0.000024
44,0.3600,1.0000,1.0267,0.7825,0.000024
45,0.3600,1.0000,1.0157,0.7893,0.000024
46,0.3599,1.0000,1.0299,0.7893,0.000024
47,0.3592,1.0000,1.0226,0.7859,0.000023
48,0.3585,1.0000,1.0291,0.7882,0.000023
49,0.3584,1.0000,1.0220,0.7882,0.000023
50,0.3581,1.0000,1.0257,0.7847,0.000023
51,0.3574,1.0000,1.1147,0.7688,0.000022
52,0.3582,1.0000,1.0273,0.7893,0.000022
53,0.3594,0.9992,1.0854,0.7768,0.000022
54,0.3816,0.9913,1.2201,0.7278,0.000021
55,0.3972,0.9871,1.0361,0.7825,0.000021
56,0.3693,0.9973,1.0913,0.7722,0.000021
57,0.3715,0.9977,1.0915,0.7779,0.000021
58,0.3672,0.9977,1.0065,0.7950,0.000020
59,0.3666,0.9966,1.0555,0.7733,0.000020
