epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1247,0.0892,2.9053,0.2232,0.000100
2,2.8353,0.2016,2.6288,0.2950,0.000100
3,2.5867,0.2733,2.3685,0.3440,0.000100
4,2.3495,0.3204,2.1512,0.3724,0.000100
5,2.1704,0.3485,1.9844,0.4032,0.000100
6,1.8008,0.4476,1.5594,0.5239,0.000030
7,1.4786,0.5425,1.3696,0.5797,0.000030
8,1.2888,0.6291,1.2495,0.6162,0.000030
9,1.1361,0.7001,1.1584,0.6401,0.000030
10,1.0243,0.7464,1.0711,0.6902,0.000030
11,0.9493,0.7737,1.0347,0.7107,0.000030
12,0.8370,0.8455,0.9817,0.7221,0.000030
13,0.7739,0.8652,0.9718,0.7267,0.000030
14,0.7020,0.8952,0.9658,0.7210,0.000029
15,0.6509,0.9165,0.9259,0.7528,0.000029
16,0.5853,0.9408,0.9091,0.7688,0.000029
17,0.5313,0.9636,0.8986,0.7642,0.000029
18,0.4972,0.9730,0.9316,0.7608,0.000029
19,0.4874,0.9711,0.9125,0.7779,0.000029
20,0.4491,0.9841,0.9507,0.7631,0.000029
21,0.4338,0.9863,0.9244,0.7790,0.000029
22,0.4232,0.9913,0.9268,0.7722,0.000029
23,0.4095,0.9966,0.9399,0.7768,0.000028
24,0.4019,0.9947,0.9546,0.7642,0.000028
25,0.3937,0.9966,0.9482,0.7813,0.000028
26,0.3897,0.9966,0.9884,0.7631,0.000028
27,0.3890,0.9958,0.9547,0.7825,0.000028
28,0.3847,0.9981,0.9695,0.7745,0.000028
29,0.3791,0.9981,0.9761,0.7733,0.000027
30,0.3776,0.9981,1.0707,0.7528,0.000027
31,0.3801,0.9970,1.0297,0.7688,0.000027
32,0.3788,0.9981,1.0047,0.7836,0.000027
33,0.3707,1.0000,0.9798,0.7802,0.000027
34,0.3671,1.0000,1.0032,0.7756,0.000026
35,0.3657,1.0000,0.9880,0.7836,0.000026
36,0.3657,1.0000,0.9868,0.7813,0.000026
37,0.3638,1.0000,1.0004,0.7779,0.000026
38,0.3631,1.0000,1.0001,0.7756,0.000026
39,0.3624,1.0000,1.0111,0.7882,0.000025
40,0.3619,1.0000,0.9982,0.7927,0.000025
41,0.3617,1.0000,1.0099,0.7836,0.000025
42,0.3605,1.0000,1.0096,0.7859,0.000025
43,0.3601,1.0000,1.0017,0.7916,0.000024
44,0.3593,1.0000,1.0034,0.7882,0.000024
45,0.3591,1.0000,1.0148,0.7836,0.000024
46,0.3588,1.0000,1.0049,0.7870,0.000024
47,0.3585,1.0000,1.0181,0.7825,0.000023
48,0.3579,1.0000,1.0236,0.7859,0.000023
49,0.3577,1.0000,1.0159,0.7859,0.000023
50,0.3573,1.0000,1.0202,0.7859,0.000023
51,0.3573,1.0000,1.0342,0.7847,0.000022
52,0.3568,1.0000,1.0197,0.7904,0.000022
53,0.3565,1.0000,1.0433,0.7847,0.000022
54,0.3778,0.9935,1.2413,0.7289,0.000021
55,0.3858,0.9909,1.0443,0.7642,0.000021
56,0.3811,0.9939,1.0208,0.7722,0.000021
57,0.3683,0.9970,1.0483,0.7597,0.000021
58,0.3658,0.9981,1.0289,0.7756,0.000020
59,0.3631,0.9981,1.0353,0.7711,0.000020
60,0.3611,1.0000,1.0026,0.7859,0.000020
61,0.3579,1.0000,1.0704,0.7688,0.000019
62,0.3614,0.9977,1.1180,0.7620,0.000019
63,0.3622,0.9977,1.0122,0.7847,0.000019
64,0.3570,0.9996,1.0515,0.7790,0.000018
65,0.3562,1.0000,1.0410,0.7768,0.000018
