epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0819,0.0949,2.9953,0.1811,0.000100
2,2.9585,0.1655,2.8672,0.1879,0.000100
3,2.8300,0.1967,2.7310,0.2631,0.000099
4,2.6898,0.2456,2.6018,0.2699,0.000098
5,2.5599,0.2650,2.4750,0.2893,0.000098
6,2.2878,0.3178,2.0827,0.3451,0.000010
7,1.9968,0.3645,1.8645,0.4009,0.000010
8,1.8049,0.4305,1.6932,0.4727,0.000010
9,1.6346,0.4989,1.5497,0.5319,0.000009
10,1.4814,0.5562,1.4216,0.5547,0.000009
11,1.3624,0.5983,1.3046,0.5923,0.000009
12,1.2542,0.6424,1.2101,0.6082,0.000009
13,1.1463,0.6800,1.1301,0.6446,0.000009
14,1.0474,0.6967,1.0363,0.6674,0.000008
15,0.9828,0.7240,0.9812,0.6845,0.000008
16,0.9082,0.7456,0.9144,0.7130,0.000008
17,0.8431,0.7737,0.8752,0.7050,0.000008
18,0.7701,0.7942,0.8301,0.7232,0.000007
19,0.7455,0.8007,0.7982,0.7301,0.000007
20,0.6895,0.8197,0.7724,0.7358,0.000007
21,0.6519,0.8311,0.7440,0.7460,0.000006
22,0.6172,0.8402,0.7296,0.7415,0.000006
23,0.5873,0.8440,0.7122,0.7437,0.000006
24,0.5549,0.8622,0.6932,0.7620,0.000005
25,0.5200,0.8683,0.6830,0.7654,0.000005
26,0.4947,0.8827,0.6628,0.7620,0.000005
27,0.4718,0.8910,0.6590,0.7688,0.000004
28,0.4629,0.8903,0.6494,0.7677,0.000004
29,0.4494,0.8986,0.6359,0.7711,0.000004
30,0.4275,0.8975,0.6314,0.7745,0.000004
31,0.4125,0.9161,0.6287,0.7631,0.000003
32,0.3962,0.9218,0.6283,0.7756,0.000003
33,0.3823,0.9180,0.6259,0.7688,0.000003
34,0.3666,0.9233,0.6155,0.7790,0.000002
35,0.3709,0.9226,0.6142,0.7585,0.000002
36,0.3529,0.9343,0.6114,0.7768,0.000002
37,0.3517,0.9233,0.6054,0.7756,0.000002
38,0.3373,0.9347,0.6103,0.7733,0.000001
39,0.3341,0.9328,0.6046,0.7756,0.000001
40,0.3319,0.9339,0.6047,0.7768,0.000001
41,0.3283,0.9404,0.6084,0.7756,0.000001
42,0.3286,0.9381,0.5981,0.7802,0.000001
43,0.3149,0.9374,0.6065,0.7768,0.000000
44,0.3221,0.9339,0.5977,0.7779,0.000000
45,0.3167,0.9374,0.5984,0.7825,0.000000
46,0.3146,0.9457,0.5987,0.7790,0.000000
47,0.3164,0.9472,0.5998,0.7836,0.000000
48,0.3165,0.9355,0.5950,0.7859,0.000000
49,0.3192,0.9343,0.6002,0.7790,0.000000
50,0.3130,0.9396,0.5996,0.7870,0.000000
