epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0750,0.1033,2.9752,0.0888,0.000100
2,2.9507,0.1424,2.8551,0.2118,0.000100
3,2.8185,0.1955,2.7372,0.2346,0.000099
4,2.6982,0.2346,2.6105,0.2711,0.000098
5,2.5957,0.2502,2.4986,0.2927,0.000098
6,2.3419,0.2935,2.1456,0.3235,0.000010
7,2.0831,0.3386,1.9579,0.3633,0.000010
8,1.9025,0.3861,1.8017,0.4100,0.000010
9,1.7485,0.4609,1.6719,0.4465,0.000009
10,1.6210,0.4825,1.5519,0.4852,0.000009
11,1.5042,0.5334,1.4502,0.5262,0.000009
12,1.3775,0.5831,1.3648,0.5456,0.000009
13,1.2895,0.6177,1.2816,0.5786,0.000009
14,1.2001,0.6390,1.1897,0.6048,0.000008
15,1.1318,0.6568,1.1348,0.6264,0.000008
16,1.0527,0.6936,1.0722,0.6310,0.000008
17,0.9939,0.7111,1.0347,0.6469,0.000008
18,0.9350,0.7312,0.9793,0.6549,0.000007
19,0.8760,0.7547,0.9434,0.6651,0.000007
20,0.8279,0.7718,0.9094,0.6834,0.000007
21,0.7913,0.7768,0.8812,0.6936,0.000006
22,0.7506,0.8045,0.8599,0.7027,0.000006
23,0.7090,0.8102,0.8436,0.7005,0.000006
24,0.6722,0.8238,0.8205,0.7016,0.000005
25,0.6465,0.8337,0.8003,0.7130,0.000005
26,0.6143,0.8424,0.7908,0.7153,0.000005
27,0.5914,0.8527,0.7716,0.7323,0.000004
28,0.5665,0.8713,0.7775,0.7187,0.000004
29,0.5503,0.8671,0.7565,0.7255,0.000004
30,0.5429,0.8607,0.7478,0.7244,0.000004
31,0.5066,0.8891,0.7359,0.7232,0.000003
32,0.4966,0.8846,0.7306,0.7267,0.000003
33,0.4811,0.8899,0.7162,0.7437,0.000003
34,0.4720,0.8941,0.7189,0.7346,0.000002
35,0.4612,0.9013,0.7177,0.7335,0.000002
36,0.4501,0.8986,0.7131,0.7403,0.000002
37,0.4350,0.9081,0.7090,0.7426,0.000002
38,0.4267,0.9058,0.7020,0.7426,0.000001
39,0.4190,0.9119,0.7017,0.7540,0.000001
40,0.4220,0.9089,0.6950,0.7483,0.000001
41,0.4147,0.9165,0.7033,0.7449,0.000001
42,0.4114,0.9123,0.6995,0.7472,0.000001
43,0.4065,0.9153,0.6973,0.7460,0.000000
44,0.3987,0.9157,0.7008,0.7528,0.000000
45,0.4006,0.9123,0.6983,0.7460,0.000000
46,0.4004,0.9142,0.6991,0.7449,0.000000
47,0.4065,0.9176,0.6950,0.7494,0.000000
48,0.4039,0.9127,0.6917,0.7517,0.000000
49,0.4007,0.9180,0.6959,0.7494,0.000000
