epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0932,0.0942,2.9891,0.1595,0.000100
2,2.8801,0.1826,2.8223,0.2164,0.000100
3,2.6623,0.2646,2.6540,0.2574,0.000099
4,2.4589,0.3181,2.4821,0.2904,0.000098
5,2.2471,0.3948,2.3251,0.3383,0.000098
6,2.0781,0.4267,2.2281,0.3610,0.000010
7,1.9429,0.4579,2.1219,0.3941,0.000010
8,1.8232,0.5011,2.0380,0.4123,0.000010
9,1.7138,0.5156,1.9498,0.4351,0.000009
10,1.6303,0.5425,1.8481,0.4556,0.000009
11,1.5434,0.5630,1.7803,0.4704,0.000009
12,1.4574,0.5915,1.7133,0.4749,0.000009
13,1.3978,0.5995,1.6531,0.5034,0.000009
14,1.3470,0.6230,1.5862,0.5182,0.000008
15,1.2659,0.6378,1.5459,0.5273,0.000008
16,1.2033,0.6636,1.4761,0.5319,0.000008
17,1.1391,0.6739,1.4380,0.5467,0.000008
18,1.0900,0.6974,1.4002,0.5478,0.000007
19,1.0600,0.7031,1.3546,0.5706,0.000007
20,1.0033,0.7183,1.3092,0.5843,0.000007
21,0.9611,0.7304,1.2755,0.5843,0.000006
22,0.9411,0.7335,1.2499,0.5809,0.000006
23,0.9058,0.7460,1.2265,0.5888,0.000006
24,0.8768,0.7460,1.1877,0.5991,0.000005
25,0.8524,0.7604,1.1570,0.6071,0.000005
26,0.8300,0.7658,1.1520,0.6002,0.000005
27,0.8113,0.7688,1.1288,0.6093,0.000004
28,0.7844,0.7821,1.1158,0.6082,0.000004
29,0.7695,0.7920,1.0863,0.6241,0.000004
30,0.7442,0.7885,1.0965,0.6071,0.000004
31,0.7414,0.7908,1.0601,0.6230,0.000003
32,0.7237,0.7984,1.0491,0.6230,0.000003
33,0.7122,0.7897,1.0427,0.6264,0.000003
34,0.7022,0.8102,1.0305,0.6378,0.000002
35,0.6898,0.8128,1.0411,0.6207,0.000002
36,0.6792,0.8121,1.0240,0.6344,0.000002
37,0.6832,0.8113,1.0181,0.6276,0.000002
38,0.6765,0.8216,1.0135,0.6287,0.000001
39,0.6612,0.8280,1.0083,0.6390,0.000001
40,0.6671,0.8208,1.0022,0.6333,0.000001
41,0.6494,0.8216,1.0144,0.6276,0.000001
42,0.6446,0.8257,0.9968,0.6378,0.000001
43,0.6569,0.8125,0.9966,0.6458,0.000000
44,0.6497,0.8197,0.9980,0.6390,0.000000
45,0.6484,0.8223,0.9948,0.6321,0.000000
46,0.6540,0.8257,1.0070,0.6333,0.000000
47,0.6370,0.8246,0.9880,0.6458,0.000000
48,0.6582,0.8162,0.9954,0.6321,0.000000
49,0.6366,0.8303,1.0011,0.6401,0.000000
50,0.6571,0.8189,0.9852,0.6390,0.000000
