epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1048,0.0888,2.9916,0.1811,0.000100
2,2.8982,0.1758,2.8133,0.2346,0.000100
3,2.7085,0.2399,2.6323,0.2654,0.000099
4,2.5083,0.2863,2.4498,0.3007,0.000098
5,2.3138,0.3481,2.2930,0.3417,0.000098
6,2.1357,0.3842,2.1764,0.3667,0.000010
7,2.0218,0.4138,2.0699,0.4055,0.000010
8,1.8827,0.4468,1.9787,0.4203,0.000010
9,1.7872,0.4916,1.8911,0.4453,0.000009
10,1.7034,0.5049,1.8215,0.4590,0.000009
11,1.6237,0.5376,1.7448,0.4715,0.000009
12,1.5401,0.5569,1.6826,0.5046,0.000009
13,1.4845,0.5687,1.6146,0.5080,0.000009
14,1.4028,0.5896,1.5451,0.5308,0.000008
15,1.3509,0.6052,1.5159,0.5410,0.000008
16,1.2819,0.6245,1.4467,0.5524,0.000008
17,1.2263,0.6427,1.3961,0.5740,0.000008
18,1.1761,0.6693,1.3563,0.5797,0.000007
19,1.1276,0.6762,1.3135,0.6002,0.000007
20,1.0767,0.6883,1.2692,0.5945,0.000007
21,1.0406,0.7122,1.2325,0.6071,0.000006
22,1.0106,0.7134,1.2091,0.6128,0.000006
23,0.9700,0.7282,1.1737,0.6150,0.000006
24,0.9477,0.7301,1.1402,0.6298,0.000005
25,0.9149,0.7441,1.1177,0.6321,0.000005
26,0.8859,0.7513,1.1136,0.6333,0.000005
27,0.8604,0.7616,1.0865,0.6435,0.000004
28,0.8513,0.7635,1.0676,0.6481,0.000004
29,0.8189,0.7802,1.0545,0.6435,0.000004
30,0.8154,0.7703,1.0344,0.6503,0.000004
31,0.7786,0.7874,1.0322,0.6515,0.000003
32,0.7822,0.7817,1.0205,0.6435,0.000003
33,0.7665,0.7863,1.0075,0.6492,0.000003
34,0.7508,0.7969,0.9921,0.6572,0.000002
35,0.7410,0.7999,0.9852,0.6606,0.000002
36,0.7282,0.8026,0.9821,0.6583,0.000002
37,0.7180,0.8007,0.9685,0.6560,0.000002
38,0.7077,0.8178,0.9642,0.6617,0.000001
39,0.7194,0.8030,0.9650,0.6617,0.000001
40,0.7128,0.8045,0.9613,0.6629,0.000001
41,0.7033,0.8140,0.9552,0.6651,0.000001
42,0.7109,0.8075,0.9618,0.6572,0.000001
43,0.6962,0.8185,0.9551,0.6617,0.000000
44,0.6937,0.8098,0.9623,0.6640,0.000000
45,0.6943,0.8109,0.9545,0.6640,0.000000
46,0.6939,0.8200,0.9588,0.6595,0.000000
47,0.6884,0.8128,0.9440,0.6629,0.000000
48,0.6926,0.8106,0.9482,0.6686,0.000000
49,0.6866,0.8159,0.9503,0.6640,0.000000
50,0.6943,0.8125,0.9531,0.6640,0.000000
