epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0995,0.0725,3.0043,0.1743,0.000100
2,2.9977,0.1439,2.9151,0.1879,0.000100
3,2.9081,0.1883,2.8101,0.2403,0.000100
4,2.7961,0.2270,2.6977,0.2825,0.000100
5,2.6908,0.2521,2.5931,0.3155,0.000100
6,2.2578,0.3318,1.8828,0.4077,0.000030
7,1.7786,0.4856,1.5782,0.5376,0.000030
8,1.4681,0.6036,1.3237,0.6355,0.000030
9,1.2436,0.6712,1.1684,0.6720,0.000030
10,1.0855,0.7388,1.0655,0.7005,0.000030
11,0.9513,0.7957,1.0046,0.7221,0.000030
12,0.8593,0.8295,0.9543,0.7403,0.000030
13,0.7704,0.8671,0.9330,0.7483,0.000030
14,0.7050,0.8948,0.9642,0.7608,0.000029
15,0.6507,0.9161,0.9333,0.7699,0.000029
16,0.5964,0.9336,0.8745,0.7904,0.000029
17,0.5556,0.9503,0.8878,0.7882,0.000029
18,0.5234,0.9605,0.8745,0.7916,0.000029
19,0.4991,0.9647,0.8707,0.7961,0.000029
20,0.4771,0.9746,0.9032,0.7779,0.000029
21,0.4632,0.9780,0.8976,0.7847,0.000029
22,0.4566,0.9852,0.8722,0.8041,0.000029
23,0.4461,0.9822,0.8858,0.7904,0.000028
24,0.4253,0.9909,0.9026,0.8098,0.000028
25,0.4273,0.9886,0.8789,0.8018,0.000028
26,0.4224,0.9901,0.8789,0.7916,0.000028
27,0.4143,0.9928,0.9083,0.7950,0.000028
28,0.4153,0.9886,0.8951,0.7904,0.000028
29,0.4086,0.9943,0.9296,0.7893,0.000027
30,0.4087,0.9939,0.9274,0.7893,0.000027
31,0.4086,0.9943,0.8943,0.8018,0.000027
32,0.4016,0.9958,0.9390,0.7882,0.000027
33,0.4012,0.9932,0.9543,0.7859,0.000027
34,0.3963,0.9981,0.9107,0.7904,0.000026
35,0.3973,0.9954,0.9056,0.7882,0.000026
36,0.3971,0.9954,0.9651,0.7836,0.000026
37,0.4078,0.9920,0.9328,0.7904,0.000026
38,0.3913,0.9981,0.9269,0.8018,0.000026
39,0.3949,0.9943,0.9482,0.7882,0.000025
40,0.3971,0.9928,0.9468,0.7859,0.000025
41,0.3928,0.9970,0.9219,0.7916,0.000025
42,0.3884,0.9977,0.9142,0.7995,0.000025
43,0.3887,0.9966,0.9305,0.7916,0.000024
44,0.3830,0.9981,0.9201,0.8007,0.000024
45,0.3822,0.9981,0.9599,0.7973,0.000024
46,0.3816,0.9981,0.9377,0.8007,0.000024
47,0.3823,0.9973,0.9650,0.7927,0.000023
48,0.3791,0.9989,0.9340,0.7995,0.000023
49,0.3802,0.9970,0.9361,0.7984,0.000023
