epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0934,0.0919,3.0115,0.1572,0.000100
2,2.9947,0.1336,2.9135,0.2016,0.000100
3,2.8832,0.1898,2.7953,0.2232,0.000100
4,2.7762,0.2134,2.6792,0.2859,0.000100
5,2.6624,0.2468,2.5735,0.2870,0.000100
6,2.2831,0.3170,1.9718,0.3884,0.000030
7,1.8344,0.4487,1.5978,0.5319,0.000030
8,1.5247,0.5740,1.3605,0.6196,0.000030
9,1.2857,0.6473,1.1937,0.6868,0.000030
10,1.1159,0.7145,1.1128,0.6913,0.000030
11,1.0007,0.7597,1.0268,0.7358,0.000030
12,0.8891,0.8090,1.0020,0.7278,0.000030
13,0.7951,0.8542,0.9688,0.7460,0.000030
14,0.7211,0.8907,0.9334,0.7528,0.000029
15,0.6617,0.9043,0.9931,0.7301,0.000029
16,0.6118,0.9286,0.9454,0.7517,0.000029
17,0.5746,0.9412,0.9751,0.7472,0.000029
18,0.5295,0.9620,0.9679,0.7517,0.000029
19,0.5171,0.9655,0.9702,0.7585,0.000029
20,0.4937,0.9723,0.9791,0.7631,0.000029
21,0.4710,0.9803,1.0259,0.7460,0.000029
22,0.4589,0.9806,0.9741,0.7677,0.000029
23,0.4440,0.9860,0.9689,0.7654,0.000028
24,0.4326,0.9897,0.9605,0.7677,0.000028
25,0.4264,0.9932,0.9776,0.7722,0.000028
26,0.4152,0.9947,1.0080,0.7654,0.000028
27,0.4231,0.9894,0.9923,0.7642,0.000028
28,0.4277,0.9863,1.0505,0.7437,0.000028
29,0.4128,0.9924,0.9672,0.7654,0.000027
30,0.4125,0.9905,1.0089,0.7585,0.000027
31,0.4061,0.9928,0.9742,0.7711,0.000027
32,0.4171,0.9909,1.0271,0.7688,0.000027
33,0.4014,0.9970,0.9726,0.7733,0.000027
34,0.4011,0.9943,0.9726,0.7665,0.000026
35,0.3950,0.9970,0.9772,0.7893,0.000026
36,0.3950,0.9958,1.0180,0.7665,0.000026
37,0.3999,0.9943,1.0337,0.7665,0.000026
38,0.3970,0.9966,1.0033,0.7733,0.000026
39,0.3894,0.9973,0.9751,0.7802,0.000025
40,0.3865,0.9985,0.9836,0.7847,0.000025
41,0.3872,0.9973,0.9831,0.7836,0.000025
42,0.3836,0.9973,0.9827,0.7745,0.000025
43,0.3789,0.9989,0.9909,0.7768,0.000024
44,0.3919,0.9939,1.0483,0.7597,0.000024
45,0.3862,0.9966,1.0049,0.7733,0.000024
46,0.3855,0.9985,1.0106,0.7688,0.000024
47,0.3777,0.9985,1.0119,0.7779,0.000023
48,0.3864,0.9962,1.0333,0.7620,0.000023
49,0.3762,1.0000,1.0297,0.7620,0.000023
50,0.3759,0.9992,1.0343,0.7654,0.000023
51,0.3791,0.9985,1.0066,0.7756,0.000022
52,0.3819,0.9962,1.0049,0.7699,0.000022
53,0.3769,0.9989,1.0305,0.7677,0.000022
54,0.3747,0.9996,1.0253,0.7677,0.000021
55,0.3711,0.9992,1.0224,0.7711,0.000021
56,0.3706,1.0000,1.0320,0.7745,0.000021
57,0.3685,0.9996,1.0162,0.7665,0.000021
58,0.3693,0.9996,1.0239,0.7722,0.000020
59,0.3689,0.9992,1.0166,0.7768,0.000020
60,0.3720,0.9981,1.0558,0.7688,0.000020
