epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1077,0.0869,3.0255,0.1481,0.000100
2,2.9399,0.1686,2.8817,0.2289,0.000100
3,2.7587,0.2437,2.7351,0.2563,0.000100
4,2.5809,0.2912,2.5649,0.3144,0.000100
5,2.3954,0.3443,2.4284,0.3622,0.000100
6,2.1515,0.4021,2.1610,0.4237,0.000030
7,1.8733,0.5008,1.9464,0.4772,0.000030
8,1.6469,0.5642,1.7554,0.5285,0.000030
9,1.4820,0.6154,1.6113,0.5683,0.000030
10,1.3049,0.6777,1.4642,0.5991,0.000030
11,1.1907,0.7126,1.3577,0.6207,0.000030
12,1.0809,0.7502,1.2720,0.6401,0.000030
13,0.9961,0.7844,1.2148,0.6538,0.000030
14,0.9116,0.8185,1.1660,0.6572,0.000029
15,0.8307,0.8497,1.1229,0.6754,0.000029
16,0.7859,0.8622,1.0895,0.6754,0.000029
17,0.7320,0.8888,1.0674,0.7005,0.000029
18,0.6838,0.9062,1.0531,0.6948,0.000029
19,0.6515,0.9203,1.0262,0.7107,0.000029
20,0.6095,0.9374,1.0113,0.7221,0.000029
21,0.5715,0.9624,0.9986,0.7187,0.000029
22,0.5569,0.9548,0.9866,0.7335,0.000029
23,0.5222,0.9704,0.9897,0.7346,0.000028
24,0.5130,0.9708,0.9642,0.7460,0.000028
25,0.4986,0.9757,0.9582,0.7415,0.000028
26,0.4715,0.9852,0.9602,0.7460,0.000028
27,0.4610,0.9886,0.9615,0.7608,0.000028
28,0.4516,0.9890,0.9553,0.7540,0.000028
29,0.4408,0.9920,0.9293,0.7745,0.000027
30,0.4394,0.9947,0.9482,0.7574,0.000027
31,0.4279,0.9951,0.9496,0.7836,0.000027
32,0.4246,0.9966,0.9378,0.7779,0.000027
33,0.4242,0.9947,0.9694,0.7779,0.000027
34,0.4197,0.9943,0.9468,0.7756,0.000026
35,0.4158,0.9958,0.9582,0.7790,0.000026
36,0.4148,0.9966,0.9294,0.7847,0.000026
37,0.4180,0.9939,0.9449,0.7802,0.000026
38,0.4093,0.9966,0.9545,0.7836,0.000026
