epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1324,0.0805,3.0079,0.1446,0.000100
2,2.9598,0.1519,2.8724,0.2141,0.000100
3,2.7991,0.2153,2.7168,0.2528,0.000100
4,2.6278,0.2745,2.5622,0.2836,0.000100
5,2.4648,0.3181,2.4293,0.2995,0.000100
6,2.2127,0.3990,2.1617,0.3975,0.000030
7,1.9501,0.4776,1.9365,0.4624,0.000030
8,1.7122,0.5505,1.7437,0.5148,0.000030
9,1.5210,0.6147,1.5680,0.5649,0.000030
10,1.3669,0.6678,1.4498,0.5866,0.000030
11,1.2255,0.7134,1.3296,0.6287,0.000030
12,1.0982,0.7559,1.2423,0.6526,0.000030
13,1.0195,0.7692,1.1756,0.6720,0.000030
14,0.9361,0.8117,1.1246,0.6743,0.000029
15,0.8726,0.8337,1.0896,0.6959,0.000029
16,0.8111,0.8565,1.0546,0.7005,0.000029
17,0.7525,0.8827,1.0258,0.7141,0.000029
18,0.7083,0.8983,0.9999,0.7278,0.000029
19,0.6604,0.9180,0.9720,0.7449,0.000029
20,0.6193,0.9453,0.9792,0.7392,0.000029
21,0.5842,0.9472,0.9481,0.7551,0.000029
22,0.5643,0.9533,0.9306,0.7654,0.000029
23,0.5240,0.9708,0.9399,0.7665,0.000028
24,0.5108,0.9757,0.9280,0.7711,0.000028
25,0.4919,0.9814,0.9230,0.7688,0.000028
26,0.4747,0.9886,0.9299,0.7733,0.000028
27,0.4612,0.9932,0.9387,0.7677,0.000028
28,0.4579,0.9871,0.9444,0.7665,0.000028
29,0.4553,0.9886,0.9320,0.7585,0.000027
30,0.4441,0.9909,0.9462,0.7688,0.000027
31,0.4454,0.9886,0.9405,0.7677,0.000027
32,0.4369,0.9932,0.9280,0.7870,0.000027
33,0.4270,0.9954,0.9219,0.7779,0.000027
34,0.4221,0.9958,0.9322,0.7836,0.000026
35,0.4213,0.9943,0.9200,0.7882,0.000026
36,0.4200,0.9954,0.9265,0.7961,0.000026
37,0.4136,0.9973,0.9377,0.7790,0.000026
38,0.4126,0.9962,0.9150,0.7893,0.000026
39,0.4130,0.9951,0.9386,0.7768,0.000025
40,0.4118,0.9962,0.9144,0.7916,0.000025
41,0.4084,0.9966,0.9256,0.7802,0.000025
42,0.4061,0.9970,0.9274,0.7756,0.000025
43,0.4050,0.9973,0.9521,0.7825,0.000024
44,0.4056,0.9966,0.9651,0.7847,0.000024
45,0.4023,0.9966,0.9490,0.7893,0.000024
46,0.4023,0.9970,0.9575,0.7813,0.000024
47,0.3969,0.9992,0.9403,0.7973,0.000023
48,0.3979,0.9970,0.9746,0.7756,0.000023
49,0.3968,0.9989,0.9408,0.7847,0.000023
50,0.3916,0.9981,0.9373,0.7904,0.000023
51,0.3941,0.9954,0.9560,0.7802,0.000022
52,0.3957,0.9970,0.9454,0.7859,0.000022
53,0.3907,0.9989,0.9695,0.7904,0.000022
54,0.3901,0.9985,0.9535,0.7870,0.000021
55,0.3902,0.9992,0.9484,0.7938,0.000021
56,0.3874,0.9996,0.9464,0.7927,0.000021
57,0.3895,0.9981,0.9618,0.7893,0.000021
58,0.3873,0.9985,0.9519,0.7904,0.000020
59,0.3878,0.9989,0.9629,0.7836,0.000020
60,0.3856,0.9992,0.9588,0.7995,0.000020
61,0.3859,0.9989,0.9514,0.7904,0.000019
62,0.3843,0.9992,0.9797,0.7859,0.000019
63,0.3855,0.9985,0.9668,0.7870,0.000019
64,0.3845,0.9989,0.9622,0.7882,0.000018
65,0.3857,0.9981,0.9727,0.7961,0.000018
66,0.3835,0.9985,0.9715,0.7847,0.000018
67,0.3834,0.9989,0.9764,0.7961,0.000018
68,0.3816,0.9985,0.9958,0.7813,0.000017
69,0.3814,0.9985,0.9557,0.7973,0.000017
70,0.3787,0.9992,0.9627,0.7938,0.000017
71,0.3803,0.9989,0.9628,0.7882,0.000016
72,0.3808,0.9992,0.9797,0.7882,0.000016
73,0.3784,0.9996,0.9671,0.7916,0.000016
74,0.3783,0.9996,0.9742,0.7904,0.000015
75,0.3787,0.9992,0.9807,0.7802,0.000015
76,0.3763,0.9996,0.9689,0.7893,0.000015
77,0.3766,0.9996,0.9531,0.7995,0.000014
78,0.3765,0.9992,0.9839,0.7893,0.000014
79,0.3777,0.9992,1.0013,0.7825,0.000014
80,0.3772,0.9992,0.9901,0.7779,0.000013
81,0.3764,0.9996,0.9867,0.7882,0.000013
82,0.3756,1.0000,0.9851,0.7882,0.000013
83,0.3770,0.9989,0.9957,0.7859,0.000013
84,0.3782,0.9985,0.9866,0.7904,0.000012
85,0.3791,0.9989,0.9830,0.7995,0.000012
