epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.0897,0.1055,3.0120,0.1595,0.000100
2,2.9706,0.1458,2.9031,0.2084,0.000100
3,2.8491,0.2099,2.7875,0.2073,0.000100
4,2.7398,0.2403,2.6801,0.2335,0.000100
5,2.6270,0.2658,2.5853,0.2358,0.000100
6,2.2531,0.3254,1.9789,0.3485,0.000030
7,1.8055,0.4643,1.6710,0.4932,0.000030
8,1.5075,0.5812,1.4056,0.5934,0.000030
9,1.2713,0.6640,1.2640,0.6515,0.000030
10,1.1142,0.7194,1.1623,0.6686,0.000030
11,0.9730,0.7771,1.0743,0.6879,0.000030
12,0.8746,0.8166,1.0420,0.7141,0.000030
13,0.8003,0.8508,1.0364,0.7096,0.000030
14,0.7314,0.8770,0.9930,0.7312,0.000029
15,0.6781,0.9009,0.9617,0.7323,0.000029
16,0.6211,0.9305,0.9486,0.7528,0.000029
17,0.5857,0.9423,0.9443,0.7688,0.000029
18,0.5468,0.9590,0.9748,0.7403,0.000029
19,0.5202,0.9689,0.9432,0.7620,0.000029
20,0.5041,0.9666,0.9470,0.7654,0.000029
21,0.4715,0.9799,0.9284,0.7699,0.000029
22,0.4617,0.9810,0.9387,0.7790,0.000029
23,0.4493,0.9833,0.9581,0.7711,0.000028
24,0.4408,0.9882,0.9637,0.7665,0.000028
25,0.4361,0.9860,1.0070,0.7517,0.000028
26,0.4213,0.9924,0.9363,0.7916,0.000028
27,0.4163,0.9928,1.0124,0.7517,0.000028
28,0.4145,0.9932,0.9843,0.7574,0.000028
29,0.4131,0.9943,0.9831,0.7733,0.000027
30,0.4078,0.9943,0.9691,0.7768,0.000027
31,0.4013,0.9966,0.9905,0.7699,0.000027
32,0.4004,0.9966,0.9661,0.7745,0.000027
33,0.3956,0.9958,0.9578,0.7825,0.000027
34,0.3925,0.9973,0.9534,0.7859,0.000026
35,0.3949,0.9962,0.9996,0.7802,0.000026
36,0.3904,0.9981,0.9831,0.7847,0.000026
37,0.4046,0.9943,1.0191,0.7745,0.000026
38,0.3968,0.9951,1.0245,0.7677,0.000026
39,0.3961,0.9939,1.0536,0.7620,0.000025
40,0.3918,0.9966,1.0159,0.7642,0.000025
41,0.3882,0.9973,0.9799,0.7699,0.000025
42,0.3846,0.9981,0.9924,0.7836,0.000025
43,0.3856,0.9970,1.0050,0.7779,0.000024
44,0.3839,0.9977,0.9911,0.7768,0.000024
45,0.3846,0.9985,0.9906,0.7608,0.000024
46,0.3812,0.9985,0.9892,0.7825,0.000024
47,0.3805,0.9981,1.0145,0.7711,0.000023
48,0.3825,0.9977,0.9740,0.7768,0.000023
49,0.3779,0.9981,1.0166,0.7768,0.000023
50,0.3932,0.9951,0.9989,0.7733,0.000023
51,0.3860,0.9970,1.0267,0.7665,0.000022
