epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1014,0.0729,3.0131,0.1230,0.000100
2,2.9919,0.1481,2.9022,0.1845,0.000100
3,2.8809,0.1940,2.7731,0.2563,0.000100
4,2.7594,0.2339,2.6659,0.2711,0.000100
5,2.6402,0.2528,2.5529,0.3132,0.000100
6,2.2303,0.3383,1.9091,0.4146,0.000030
7,1.7831,0.4856,1.5873,0.5456,0.000030
8,1.4759,0.6029,1.3439,0.6298,0.000030
9,1.2501,0.6887,1.1661,0.6913,0.000030
10,1.0938,0.7354,1.0892,0.7096,0.000030
11,0.9628,0.7897,1.0087,0.7392,0.000030
12,0.8612,0.8349,0.9844,0.7335,0.000030
13,0.7695,0.8656,0.9234,0.7711,0.000030
14,0.6957,0.8941,0.9178,0.7665,0.000029
15,0.6414,0.9188,0.8909,0.7836,0.000029
16,0.5918,0.9362,0.9072,0.7665,0.000029
17,0.5586,0.9468,0.8733,0.7927,0.000029
18,0.5217,0.9609,0.9087,0.7756,0.000029
19,0.5023,0.9692,0.8887,0.7779,0.000029
20,0.4860,0.9734,0.9144,0.7711,0.000029
21,0.4704,0.9753,0.9186,0.7711,0.000029
22,0.4615,0.9787,0.9254,0.7745,0.000029
23,0.4495,0.9837,0.8929,0.7802,0.000028
24,0.4324,0.9867,0.9210,0.7836,0.000028
25,0.4241,0.9924,0.9011,0.7904,0.000028
26,0.4157,0.9947,0.9323,0.7813,0.000028
27,0.4146,0.9928,0.9221,0.7882,0.000028
28,0.4142,0.9913,0.9410,0.7847,0.000028
29,0.4230,0.9886,0.9488,0.7836,0.000027
30,0.4054,0.9920,0.9236,0.7938,0.000027
31,0.4040,0.9958,0.9513,0.7938,0.000027
32,0.3999,0.9951,0.9233,0.7961,0.000027
33,0.3999,0.9962,0.9139,0.7859,0.000027
34,0.4047,0.9932,0.9675,0.7847,0.000026
35,0.3990,0.9947,0.9183,0.7995,0.000026
36,0.3948,0.9947,0.9431,0.7950,0.000026
37,0.3905,0.9973,0.9393,0.7916,0.000026
38,0.3909,0.9970,0.9573,0.7882,0.000026
39,0.3832,0.9985,0.9391,0.7893,0.000025
40,0.3867,0.9973,0.9743,0.7802,0.000025
41,0.3816,0.9985,0.9457,0.7950,0.000025
42,0.3795,0.9985,1.0020,0.7733,0.000025
43,0.3960,0.9939,0.9236,0.8018,0.000024
44,0.3881,0.9962,0.9313,0.7950,0.000024
45,0.3871,0.9966,0.9535,0.7927,0.000024
46,0.3842,0.9973,0.9332,0.7984,0.000024
47,0.3784,0.9977,0.9471,0.7961,0.000023
48,0.3784,0.9981,0.9351,0.8007,0.000023
49,0.3779,0.9985,1.0033,0.7813,0.000023
50,0.3827,0.9970,0.9263,0.7927,0.000023
51,0.3754,0.9992,0.9467,0.7961,0.000022
52,0.3786,0.9973,0.9071,0.8052,0.000022
53,0.3756,0.9989,0.9262,0.7927,0.000022
54,0.3754,0.9989,0.9044,0.7961,0.000021
55,0.3779,0.9977,0.9147,0.7938,0.000021
56,0.3774,0.9970,0.9269,0.8052,0.000021
57,0.3852,0.9947,0.9156,0.8087,0.000021
58,0.3776,0.9966,0.9346,0.8007,0.000020
59,0.3713,0.9989,0.9700,0.7973,0.000020
60,0.3709,0.9981,0.9262,0.8041,0.000020
61,0.3730,0.9977,0.9350,0.8098,0.000019
62,0.3720,0.9996,0.9349,0.7904,0.000019
63,0.3714,0.9992,0.9316,0.7961,0.000019
64,0.3705,0.9981,0.9332,0.7870,0.000018
65,0.3669,0.9992,0.9327,0.7995,0.000018
66,0.3664,0.9992,0.9394,0.7984,0.000018
67,0.3656,0.9996,0.9651,0.7995,0.000018
68,0.3668,1.0000,0.9604,0.7904,0.000017
69,0.3679,0.9985,0.9488,0.8018,0.000017
70,0.3654,0.9996,0.9587,0.8007,0.000017
71,0.3637,0.9996,0.9390,0.8052,0.000016
72,0.3638,0.9996,0.9476,0.7904,0.000016
73,0.3672,0.9996,0.9453,0.7984,0.000016
74,0.3655,0.9989,0.9703,0.8052,0.000015
75,0.3637,0.9996,0.9579,0.7984,0.000015
76,0.3664,0.9985,0.9736,0.7904,0.000015
77,0.3706,0.9977,0.9703,0.7938,0.000014
78,0.3647,0.9985,0.9485,0.8018,0.000014
79,0.3642,1.0000,0.9424,0.8007,0.000014
80,0.3639,0.9981,0.9329,0.8030,0.000013
81,0.3639,0.9989,0.9593,0.7916,0.000013
82,0.3646,0.9989,0.9338,0.7995,0.000013
83,0.3633,0.9996,0.9399,0.7961,0.000013
84,0.3622,0.9996,0.9188,0.8041,0.000012
85,0.3616,1.0000,0.9212,0.8075,0.000012
86,0.3591,1.0000,0.9249,0.8098,0.000012
