epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1107,0.0942,3.0116,0.1765,0.000100
2,2.9489,0.1693,2.8715,0.2153,0.000100
3,2.7939,0.2282,2.7176,0.2563,0.000100
4,2.6276,0.2775,2.5656,0.3132,0.000100
5,2.4469,0.3265,2.4200,0.3599,0.000100
6,2.2147,0.3884,2.1548,0.4271,0.000030
7,1.9260,0.4970,1.9179,0.4954,0.000030
8,1.7005,0.5539,1.7425,0.5194,0.000030
9,1.5204,0.6109,1.5742,0.5581,0.000030
10,1.3617,0.6587,1.4426,0.5923,0.000030
11,1.2338,0.6906,1.3298,0.6185,0.000030
12,1.1180,0.7388,1.2478,0.6469,0.000030
13,1.0325,0.7677,1.1734,0.6651,0.000030
14,0.9476,0.8030,1.1164,0.6686,0.000029
15,0.8832,0.8254,1.0811,0.6913,0.000029
16,0.8247,0.8550,1.0522,0.6925,0.000029
17,0.7669,0.8853,1.0323,0.7084,0.000029
18,0.7109,0.8975,0.9892,0.7232,0.000029
19,0.6685,0.9169,0.9889,0.7335,0.000029
20,0.6357,0.9286,0.9616,0.7392,0.000029
21,0.6014,0.9381,0.9503,0.7358,0.000029
22,0.5605,0.9567,0.9311,0.7631,0.000029
23,0.5381,0.9658,0.9374,0.7528,0.000028
24,0.5215,0.9723,0.9270,0.7597,0.000028
25,0.4937,0.9837,0.9244,0.7665,0.000028
26,0.4824,0.9810,0.9310,0.7677,0.000028
27,0.4660,0.9882,0.9082,0.7847,0.000028
28,0.4575,0.9844,0.9370,0.7699,0.000028
29,0.4550,0.9879,0.9081,0.7733,0.000027
30,0.4424,0.9913,0.9275,0.7711,0.000027
31,0.4348,0.9924,0.9234,0.7870,0.000027
32,0.4323,0.9916,0.9278,0.7722,0.000027
33,0.4262,0.9932,0.9280,0.7665,0.000027
34,0.4249,0.9924,0.9406,0.7745,0.000026
35,0.4196,0.9943,0.9338,0.7836,0.000026
36,0.4139,0.9966,0.9179,0.7802,0.000026
37,0.4118,0.9973,0.9091,0.7870,0.000026
38,0.4054,0.9992,0.9138,0.7916,0.000026
39,0.4061,0.9966,0.9197,0.7825,0.000025
40,0.4037,0.9970,0.9344,0.7654,0.000025
41,0.4029,0.9973,0.9456,0.7620,0.000025
42,0.4027,0.9966,0.9326,0.7745,0.000025
43,0.3983,0.9973,0.9328,0.7768,0.000024
44,0.3977,0.9970,0.9307,0.7802,0.000024
45,0.3979,0.9977,0.9278,0.7813,0.000024
46,0.3985,0.9958,0.9247,0.7870,0.000024
47,0.3954,0.9981,0.9374,0.7859,0.000023
48,0.3928,0.9989,0.9357,0.7836,0.000023
49,0.3912,0.9977,0.9413,0.7859,0.000023
50,0.3899,0.9981,0.9462,0.7916,0.000023
51,0.3983,0.9962,0.9355,0.7938,0.000022
52,0.3947,0.9970,0.9291,0.7859,0.000022
53,0.3924,0.9970,0.9694,0.7733,0.000022
54,0.3876,0.9996,0.9522,0.7847,0.000021
55,0.3866,0.9981,0.9635,0.7813,0.000021
56,0.3867,0.9989,0.9851,0.7756,0.000021
57,0.3850,0.9992,0.9742,0.7859,0.000021
58,0.3843,0.9989,0.9545,0.7802,0.000020
59,0.3849,0.9992,0.9441,0.7836,0.000020
60,0.3821,1.0000,0.9453,0.7870,0.000020
61,0.3827,0.9996,0.9360,0.7938,0.000019
62,0.3819,0.9989,0.9570,0.7813,0.000019
63,0.3833,0.9985,0.9432,0.7836,0.000019
64,0.3797,0.9996,0.9519,0.7847,0.000018
65,0.3798,1.0000,0.9408,0.7950,0.000018
66,0.3788,0.9992,0.9368,0.7859,0.000018
67,0.3792,0.9992,0.9480,0.7859,0.000018
68,0.3786,0.9985,0.9369,0.7973,0.000017
69,0.3787,0.9992,0.9383,0.7904,0.000017
70,0.3793,0.9977,0.9513,0.7893,0.000017
71,0.3775,0.9985,0.9385,0.7973,0.000016
72,0.3801,0.9973,0.9377,0.8018,0.000016
73,0.3762,0.9996,0.9278,0.7995,0.000016
74,0.3766,0.9992,0.9363,0.7904,0.000015
75,0.3786,0.9981,0.9444,0.7825,0.000015
76,0.3748,0.9989,0.9403,0.7904,0.000015
77,0.3784,0.9977,0.9518,0.8030,0.000014
78,0.3738,0.9992,0.9605,0.7973,0.000014
79,0.3753,0.9992,0.9480,0.7950,0.000014
80,0.3748,0.9992,0.9471,0.7995,0.000013
81,0.3732,0.9996,0.9483,0.7995,0.000013
82,0.3750,0.9985,0.9781,0.7870,0.000013
83,0.3734,0.9996,0.9448,0.7927,0.000013
84,0.3738,0.9992,0.9637,0.7950,0.000012
85,0.3721,0.9996,0.9526,0.7984,0.000012
86,0.3717,0.9996,0.9501,0.7927,0.000012
87,0.3729,0.9992,0.9555,0.7973,0.000011
88,0.3735,0.9992,0.9606,0.7961,0.000011
89,0.3714,1.0000,0.9570,0.7995,0.000011
90,0.3723,0.9989,0.9519,0.8052,0.000010
91,0.3696,1.0000,0.9619,0.8018,0.000010
92,0.3718,1.0000,0.9460,0.8007,0.000010
93,0.3724,0.9985,0.9465,0.8064,0.000010
94,0.3704,1.0000,0.9623,0.7938,0.000009
95,0.3720,0.9992,0.9561,0.7973,0.000009
96,0.3723,0.9996,0.9650,0.7984,0.000009
97,0.3717,0.9989,0.9770,0.7916,0.000008
98,0.3701,0.9996,0.9465,0.8007,0.000008
99,0.3708,0.9985,0.9544,0.8041,0.000008
100,0.3690,1.0000,0.9482,0.8075,0.000008
101,0.3693,0.9992,0.9517,0.7984,0.000007
102,0.3702,0.9996,0.9483,0.7984,0.000007
103,0.3711,0.9996,0.9412,0.8087,0.000007
104,0.3679,1.0000,0.9396,0.8052,0.000006
105,0.3698,0.9992,0.9467,0.8030,0.000006
106,0.3687,0.9996,0.9461,0.7995,0.000006
107,0.3687,1.0000,0.9474,0.8041,0.000006
108,0.3699,0.9996,0.9515,0.8030,0.000005
109,0.3675,1.0000,0.9446,0.8018,0.000005
110,0.3683,0.9996,0.9491,0.8052,0.000005
111,0.3693,0.9992,0.9409,0.8075,0.000005
112,0.3676,1.0000,0.9542,0.7973,0.000005
113,0.3677,1.0000,0.9603,0.8018,0.000004
114,0.3668,1.0000,0.9492,0.8007,0.000004
115,0.3698,0.9989,0.9472,0.7995,0.000004
116,0.3686,0.9992,0.9446,0.8052,0.000004
117,0.3705,0.9996,0.9360,0.8132,0.000003
118,0.3673,0.9996,0.9513,0.8041,0.000003
119,0.3677,0.9996,0.9439,0.8018,0.000003
120,0.3673,0.9996,0.9395,0.8087,0.000003
121,0.3680,0.9996,0.9416,0.8109,0.000003
122,0.3674,1.0000,0.9381,0.8064,0.000003
123,0.3684,1.0000,0.9545,0.7938,0.000002
124,0.3700,0.9992,0.9372,0.8018,0.000002
125,0.3669,0.9992,0.9439,0.8109,0.000002
126,0.3671,0.9996,0.9401,0.8030,0.000002
127,0.3659,1.0000,0.9305,0.8144,0.000002
128,0.3671,1.0000,0.9416,0.8041,0.000002
129,0.3670,0.9996,0.9498,0.8041,0.000001
130,0.3665,1.0000,0.9381,0.8087,0.000001
131,0.3663,1.0000,0.9435,0.8098,0.000001
132,0.3668,1.0000,0.9383,0.8075,0.000001
133,0.3672,0.9996,0.9423,0.8052,0.000001
134,0.3707,0.9989,0.9429,0.8041,0.000001
