epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1074,0.0816,3.0350,0.0968,0.000100
2,2.9264,0.1701,2.8960,0.1640,0.000100
3,2.7382,0.2453,2.7345,0.2198,0.000100
4,2.5393,0.3102,2.5769,0.2631,0.000100
5,2.3430,0.3671,2.4220,0.3371,0.000100
6,2.0770,0.4317,2.1339,0.4146,0.000030
7,1.7796,0.5270,1.9064,0.4761,0.000030
8,1.5525,0.6021,1.6948,0.5433,0.000030
9,1.3654,0.6503,1.5667,0.5604,0.000030
10,1.2211,0.7050,1.4242,0.6014,0.000030
11,1.1206,0.7255,1.3439,0.6173,0.000030
12,1.0158,0.7798,1.2551,0.6435,0.000030
13,0.9429,0.8049,1.2197,0.6446,0.000030
14,0.8792,0.8227,1.1545,0.6697,0.000029
15,0.8166,0.8538,1.1277,0.6800,0.000029
16,0.7660,0.8827,1.0868,0.6970,0.000029
17,0.7270,0.8853,1.0761,0.7096,0.000029
18,0.6761,0.9119,1.0580,0.7050,0.000029
19,0.6402,0.9267,1.0264,0.7187,0.000029
20,0.6046,0.9343,1.0221,0.7289,0.000029
21,0.5709,0.9567,0.9893,0.7380,0.000029
22,0.5427,0.9674,1.0131,0.7346,0.000029
23,0.5293,0.9685,0.9934,0.7437,0.000028
24,0.5091,0.9776,0.9872,0.7449,0.000028
25,0.4873,0.9810,0.9935,0.7346,0.000028
26,0.4726,0.9886,1.0029,0.7358,0.000028
27,0.4567,0.9920,0.9916,0.7449,0.000028
28,0.4587,0.9890,0.9842,0.7449,0.000028
29,0.4470,0.9920,0.9918,0.7460,0.000027
30,0.4433,0.9935,0.9725,0.7608,0.000027
31,0.4326,0.9939,1.0090,0.7506,0.000027
32,0.4412,0.9886,0.9869,0.7654,0.000027
33,0.4292,0.9928,1.0072,0.7380,0.000027
34,0.4242,0.9962,0.9898,0.7540,0.000026
35,0.4203,0.9951,0.9972,0.7494,0.000026
36,0.4149,0.9966,1.0125,0.7483,0.000026
37,0.4122,0.9977,0.9899,0.7563,0.000026
38,0.4102,0.9970,1.0152,0.7574,0.000026
39,0.4151,0.9966,0.9825,0.7585,0.000025
40,0.4118,0.9947,1.0014,0.7460,0.000025
41,0.4062,0.9966,1.0032,0.7528,0.000025
42,0.4038,0.9985,0.9870,0.7585,0.000025
43,0.4049,0.9970,1.0152,0.7494,0.000024
44,0.4013,0.9981,0.9890,0.7597,0.000024
45,0.3987,0.9981,0.9893,0.7642,0.000024
46,0.3962,0.9992,0.9851,0.7608,0.000024
47,0.3960,0.9985,1.0048,0.7517,0.000023
48,0.3975,0.9962,1.0315,0.7472,0.000023
49,0.3951,0.9985,1.0404,0.7483,0.000023
50,0.3921,0.9981,1.0213,0.7585,0.000023
51,0.3892,0.9989,1.0350,0.7426,0.000022
52,0.3868,1.0000,1.0268,0.7551,0.000022
53,0.3899,0.9981,1.0255,0.7437,0.000022
54,0.3873,0.9992,1.0238,0.7654,0.000021
55,0.3862,0.9996,1.0220,0.7551,0.000021
56,0.3886,0.9970,1.0236,0.7597,0.000021
57,0.3884,0.9981,1.0398,0.7528,0.000021
