config,seed,backbone,clahe,params_M,best_val_acc,checkpoint,accuracy,precision,recall,f1
resnet50_no_clahe,42,resnet50,False,23.77,80.98,./results/checkpoints/resnet50_no_clahe_seed42_best.pth,79.61,78.14,77.49,77.37
resnet50_no_clahe,123,resnet50,False,23.77,80.98,./results/checkpoints/resnet50_no_clahe_seed123_best.pth,81.89,78.94,78.79,78.35
resnet50_no_clahe,2024,resnet50,False,23.77,80.64,./results/checkpoints/resnet50_no_clahe_seed2024_best.pth,80.3,78.12,77.59,77.52
resnet50_clahe,42,resnet50,True,23.77,79.16,./results/checkpoints/resnet50_clahe_seed42_best.pth,77.33,76.67,74.86,75.07
resnet50_clahe,123,resnet50,True,23.77,78.47,./results/checkpoints/resnet50_clahe_seed123_best.pth,79.61,77.43,76.92,76.7
resnet50_clahe,2024,resnet50,True,23.77,79.16,./results/checkpoints/resnet50_clahe_seed2024_best.pth,74.83,72.97,71.87,71.8
v2s_no_clahe,42,efficientnetv2s,False,20.34,80.18,./results/checkpoints/v2s_no_clahe_seed42_best.pth,78.13,77.49,76.63,76.25
v2s_no_clahe,123,efficientnetv2s,False,20.34,80.07,./results/checkpoints/v2s_no_clahe_seed123_best.pth,80.07,78.0,77.24,77.02
v2s_no_clahe,2024,efficientnetv2s,False,20.34,76.54,./results/checkpoints/v2s_no_clahe_seed2024_best.pth,78.02,75.31,74.78,74.43
v2s_clahe,42,efficientnetv2s,True,20.34,81.89,./results/checkpoints/v2s_clahe_seed42_best.pth,77.68,75.69,74.78,74.38
v2s_clahe,123,efficientnetv2s,True,20.34,78.13,./results/checkpoints/v2s_clahe_seed123_best.pth,79.84,77.59,77.56,77.33
v2s_clahe,2024,efficientnetv2s,True,20.34,77.22,./results/checkpoints/v2s_clahe_seed2024_best.pth,78.59,76.13,76.04,75.15
convnext_no_clahe,42,convnext_small,False,49.56,81.21,./results/checkpoints/convnext_no_clahe_seed42_best.pth,80.75,78.03,77.72,77.36
convnext_no_clahe,123,convnext_small,False,49.56,79.27,./results/checkpoints/convnext_no_clahe_seed123_best.pth,83.26,80.68,80.07,80.12
convnext_no_clahe,2024,convnext_small,False,49.56,79.5,./results/checkpoints/convnext_no_clahe_seed2024_best.pth,78.13,74.56,74.27,74.22
convnext_clahe,42,convnext_small,True,49.56,79.61,./results/checkpoints/convnext_clahe_seed42_best.pth,79.38,76.8,76.61,76.3
convnext_clahe,123,convnext_small,True,49.56,78.36,./results/checkpoints/convnext_clahe_seed123_best.pth,80.87,78.08,77.4,77.28
convnext_clahe,2024,convnext_small,True,49.56,78.7,./results/checkpoints/convnext_clahe_seed2024_best.pth,78.93,76.79,75.96,76.03
